image_id,pair,cos
0,EN-DE,0.7295933961868286
1,EN-DE,0.9532355070114136
2,EN-DE,0.9667850136756897
3,EN-DE,0.9504846930503845
4,EN-DE,0.8839414119720459
5,EN-DE,0.9387903213500977
6,EN-DE,0.8290820121765137
7,EN-DE,0.9113682508468628
8,EN-DE,0.9510056376457214
9,EN-DE,0.9697228670120239
10,EN-DE,0.9263476729393005
11,EN-DE,0.9136897325515747
12,EN-DE,0.8434323072433472
13,EN-DE,0.9526427984237671
14,EN-DE,0.8418205976486206
15,EN-DE,0.9541349411010742
16,EN-DE,0.964198112487793
17,EN-DE,0.8989758491516113
18,EN-DE,0.9007959365844727
19,EN-DE,0.9214641451835632
20,EN-DE,0.9185614585876465
21,EN-DE,0.8539817929267883
22,EN-DE,0.7640054821968079
23,EN-DE,0.9701235890388489
24,EN-DE,0.9460206627845764
25,EN-DE,0.9537378549575806
26,EN-DE,0.9865871071815491
27,EN-DE,0.9681253433227539
28,EN-DE,0.9068530797958374
29,EN-DE,0.9877035021781921
30,EN-DE,0.9547458291053772
31,EN-DE,0.6897104978561401
32,EN-DE,0.9585646986961365
33,EN-DE,0.9711521863937378
34,EN-DE,0.7965350151062012
35,EN-DE,0.9123618602752686
36,EN-DE,0.8878363370895386
37,EN-DE,0.9785524606704712
38,EN-DE,0.9644650220870972
39,EN-DE,0.9903178215026855
40,EN-DE,0.9580485224723816
41,EN-DE,0.9808787703514099
42,EN-DE,0.8717847466468811
43,EN-DE,0.9585796594619751
44,EN-DE,0.8595223426818848
45,EN-DE,0.8959302306175232
46,EN-DE,0.9687580466270447
47,EN-DE,0.7657574415206909
48,EN-DE,0.9466081857681274
49,EN-DE,0.9601331353187561
50,EN-DE,0.9275878667831421
51,EN-DE,0.8907132148742676
52,EN-DE,0.8319436311721802
53,EN-DE,0.8419923782348633
54,EN-DE,0.9259762763977051
55,EN-DE,0.8020632266998291
56,EN-DE,0.9181388020515442
57,EN-DE,0.9543271064758301
58,EN-DE,0.8851364850997925
59,EN-DE,0.9873858094215393
60,EN-DE,0.8380563855171204
61,EN-DE,0.9137284755706787
62,EN-DE,0.6905167102813721
63,EN-DE,0.7504259943962097
64,EN-DE,0.9430043697357178
65,EN-DE,0.9884104132652283
66,EN-DE,0.9489578008651733
67,EN-DE,0.9252035617828369
68,EN-DE,0.9528260231018066
69,EN-DE,0.9670641422271729
70,EN-DE,0.9631030559539795
71,EN-DE,0.6574561595916748
72,EN-DE,0.8655502796173096
73,EN-DE,0.9572590589523315
74,EN-DE,0.7419916391372681
75,EN-DE,0.8613645434379578
76,EN-DE,0.9573655128479004
77,EN-DE,0.7314964532852173
78,EN-DE,0.8139545917510986
79,EN-DE,0.8253188729286194
80,EN-DE,0.9437914490699768
81,EN-DE,0.9829490184783936
82,EN-DE,0.9687328338623047
83,EN-DE,0.9774112701416016
84,EN-DE,0.9093135595321655
85,EN-DE,0.944212794303894
86,EN-DE,0.9456905126571655
87,EN-DE,0.9560316801071167
88,EN-DE,0.9468867182731628
89,EN-DE,0.9663646817207336
90,EN-DE,0.9035648703575134
91,EN-DE,0.97930508852005
92,EN-DE,0.9146385192871094
93,EN-DE,0.9522882699966431
94,EN-DE,0.6349860429763794
95,EN-DE,0.6012834310531616
96,EN-DE,0.9112967848777771
97,EN-DE,0.9616004228591919
98,EN-DE,0.9500846862792969
99,EN-DE,0.8901962041854858
100,EN-DE,0.9273697137832642
101,EN-DE,0.9846106767654419
102,EN-DE,0.7834076881408691
103,EN-DE,0.7888444662094116
104,EN-DE,0.9735578298568726
105,EN-DE,0.9627441167831421
